id,url,time,text,replies,retweets,likes,views,media,has_quote
1863034266835169579,https://x.com/coldhealing/status/1863034266835169579,2024-12-01 01:35:57,today i went to a chicago suburb indoor mall and now i'm painting warhammer miniatures while pickling jalapenos and watching sec football,6,4,147,8984,https://pbs.twimg.com/media/GdrTyqqXMAAJd-x.jpg,false
1863042000662007996,https://x.com/coldhealing/status/1863042000662007996,2024-12-01 02:06:41,baby i have to text you on another application so that others don't find you and fall in love with you,2,0,19,1174,,false
1863086938804080842,https://x.com/coldhealing/status/1863086938804080842,2024-12-01 05:05:15,DM i can't leak my builds on main,0,0,5,200,,false
1863228447998218718,https://x.com/coldhealing/status/1863228447998218718,2024-12-01 14:27:33,"okay so girls can write ""olfactory ethics: the politics of smell in modern and contemporary prose"" but my thesis ""i bet it smell crazy in there: the weaponization of bodyscent online against digital interactive media enthusiasts"" gets rejected??",5,22,708,25530,,false
1863237662523494748,https://x.com/coldhealing/status/1863237662523494748,2024-12-01 15:04:10,age 27 vs age 17 we're in an age-gap relationship,17,3,447,27925,https://pbs.twimg.com/media/GduMxb3XkAApNFR.jpg,false
1863251598111039578,https://x.com/coldhealing/status/1863251598111039578,2024-12-01 15:59:33,cute site,1,0,7,1083,https://pbs.twimg.com/media/GduZc54WYAAWjjP.jpg,false
1863323807882125636,https://x.com/coldhealing/status/1863323807882125636,2024-12-01 20:46:29,wow,1,0,1,341,,false
1863360341981163834,https://x.com/coldhealing/status/1863360341981163834,2024-12-01 23:11:39,this would kill as a tiktok,1,0,1,395,,false
1863361924198494309,https://x.com/coldhealing/status/1863361924198494309,2024-12-01 23:17:56,there's something dead-eyed and uncanny in every person who is ozempic skinny. removal of desire to eat doesn't make you skinny for the same absence of evil doesn't create good; truly skinny people are beautiful not because they desire nothing but because they desire more,29,31,1185,72623,,false
1863365285794795556,https://x.com/coldhealing/status/1863365285794795556,2024-12-01 23:31:18,,2,0,151,12581,https://pbs.twimg.com/media/GdwA2XmWcAEXR6-.jpg,false
