id,url,time,text,replies,retweets,likes,views,media,has_quote
1555017107988832259,https://x.com/keshinhymns/status/1555017107988832259,2022-08-04 02:25:44,he’s just like me fr,0,0,1,0,,false
1555039200629534720,https://x.com/keshinhymns/status/1555039200629534720,2022-08-04 03:53:31,gay men paved the way for men being vain,0,0,1,0,,false
1555060689000992769,https://x.com/keshinhymns/status/1555060689000992769,2022-08-04 05:18:54,"every 10000 follower account has a group chat of 1ks giving them alpha 

Every 1k has at least one lowbie (&lt;400) ghostwriter",2,0,7,0,,false
1555062659711504385,https://x.com/keshinhymns/status/1555062659711504385,2022-08-04 05:26:44,Modis actually 16 here that’s just Indian puberty,1,0,5,0,,true
1555063106006441984,https://x.com/keshinhymns/status/1555063106006441984,2022-08-04 05:28:30,"every space has to have 1-2 women  to encourage the men to reveal their alpha , or someone else they can simp over (shkreli, bap, etc )",0,0,2,0,,false
1555065676464656384,https://x.com/keshinhymns/status/1555065676464656384,2022-08-04 05:38:43,you should do acid,1,0,2,0,,false
1555066028337479681,https://x.com/keshinhymns/status/1555066028337479681,2022-08-04 05:40:07,yea,0,0,1,0,,false
1555172005434929152,https://x.com/keshinhymns/status/1555172005434929152,2022-08-04 12:41:14,watch it,0,0,1,0,,false
1555280262925144064,https://x.com/keshinhymns/status/1555280262925144064,2022-08-04 19:51:25,"a lot of you have therapists , but what you really need is Me. Hello",0,0,1,0,,false
1555324172774957057,https://x.com/keshinhymns/status/1555324172774957057,2022-08-04 22:45:53,guys what’s grimes in-group @,0,0,1,0,,true
