id,url,time,text,replies,retweets,likes,views,media,has_quote
1563419612469161985,https://x.com/LandsharkRides/status/1563419612469161985,2022-08-27 06:54:17,"Reminder: Millennials actually believed ""banging"" was a good euphemism for sex",12,0,304,0,,false
1563420452881825797,https://x.com/LandsharkRides/status/1563420452881825797,2022-08-27 06:57:37,worse,2,0,8,0,,false
1563421769121550336,https://x.com/LandsharkRides/status/1563421769121550336,2022-08-27 07:02:51,"""Did you bang her? Yes we banged."" how did they even live with themselves like this? I feel like an African tribesman whose life was saved by modern antibiotics and who looks back in horror at the dark superstitions of the past before",8,0,263,0,,false
1563422402415333377,https://x.com/LandsharkRides/status/1563422402415333377,2022-08-27 07:05:22,"""take"" is the only good one here",0,0,1,0,,false
1563428989695168516,https://x.com/LandsharkRides/status/1563428989695168516,2022-08-27 07:31:32,"""insert"" cindy, ""collide"" good but possibly gynocratic",0,0,0,0,,false
1563429457557262337,https://x.com/LandsharkRides/status/1563429457557262337,2022-08-27 07:33:24,good,0,0,0,0,,false
1563430063634534401,https://x.com/LandsharkRides/status/1563430063634534401,2022-08-27 07:35:48,Eric Bugenhagen is actually going to meme me into buying fat grips,13,0,146,0,,false
1563438397662064640,https://x.com/LandsharkRides/status/1563438397662064640,2022-08-27 08:08:55,"""Have"" or ""take"" are the best ones probably",1,0,8,0,,false
1563441572884393985,https://x.com/LandsharkRides/status/1563441572884393985,2022-08-27 08:21:32,"""Have"" and ""take""",1,0,43,0,,false
1563446914221486082,https://x.com/LandsharkRides/status/1563446914221486082,2022-08-27 08:42:46,"In the Biblical meaning, ""Onanism"" refers not only to what we associate it with today, but also to any form of ""Coitus interruptus""; good to remember the first ""condoms"" were made of sheep intestine, thus (technically) combining sodomy, bestiality and necrophilia into one object.",7,0,209,0,,false
1563447147277975552,https://x.com/LandsharkRides/status/1563447147277975552,2022-08-27 08:43:42,This sounds vile and disgusting because it actually is,2,0,143,0,,false
1563448868062515202,https://x.com/LandsharkRides/status/1563448868062515202,2022-08-27 08:50:32,do they have a similar equivalent in the past?,1,0,0,0,,false
