id,url,time,text,replies,retweets,likes,views,media,has_quote
1984441523430363638,https://x.com/tszzl/status/1984441523430363638,2025-11-01 02:05:02,you’re probably trolling but this is not at all a straightforward argument when said insiders can influence policy that moves markets in ways that are arbitrarily good or bad for the country,3,0,21,1981,,false
1984443060613533964,https://x.com/tszzl/status/1984443060613533964,2025-11-01 02:11:09,bad call,0,0,10,398,,false
1984444198788173857,https://x.com/tszzl/status/1984444198788173857,2025-11-01 02:15:40,"personally my money has always been on math, and programming at a distant second. these areas require zero to limited real world interaction for verification. Should also expect progress in formal logic, analytical philosophy, and related",7,0,116,6609,,false
1984462552827650498,https://x.com/tszzl/status/1984462552827650498,2025-11-01 03:28:36,"(to be clear, i think what Suchir did ie speak a contrarian opinion against the drumbeat of all his peers, and the march of a new strain of information capitalism is undeniably brave)",5,2,92,12285,,false
1984466288169926668,https://x.com/tszzl/status/1984466288169926668,2025-11-01 03:43:27,literally yes,4,0,35,883,,false
1984488614093623663,https://x.com/tszzl/status/1984488614093623663,2025-11-01 05:12:10,"openai trains on copyrighted materials. almost all material on the internet has a copyright. this is not news, trade secret, or conspiracy.",2,0,22,1099,,false
1984488845329785002,https://x.com/tszzl/status/1984488845329785002,2025-11-01 05:13:05,all of which is consistent with what I said,1,0,8,1506,,false
1984522708194116079,https://x.com/tszzl/status/1984522708194116079,2025-11-01 07:27:38,or don’t,0,0,12,1967,,false
1984745249915486308,https://x.com/tszzl/status/1984745249915486308,2025-11-01 22:11:57,this is dumb and wrong of course and calls for a new arxiv that deals with the advent of machinic research properly,18,6,231,32317,,true
1984745718926753941,https://x.com/tszzl/status/1984745718926753941,2025-11-01 22:13:48,here im a classic accelerationist and say we obviously have to deal with problems of machinic spam with machine guardians. it cannot be that hard to just the basic merit of a paper’s right to even exist on the website,10,2,57,8816,,false
1984746034661376510,https://x.com/tszzl/status/1984746034661376510,2025-11-01 22:15:04,is this bait?,3,0,195,45992,,false
1984747680921530853,https://x.com/tszzl/status/1984747680921530853,2025-11-01 22:21:36,remember when jd Vance killed the old pope and installed a midwestern singularitarian,40,32,888,37822,,false
1984748602875687134,https://x.com/tszzl/status/1984748602875687134,2025-11-01 22:25:16,alright fine I’ll delete it goddamn,4,4,29,1531,,false
1984750132349587705,https://x.com/tszzl/status/1984750132349587705,2025-11-01 22:31:21,"actually I won’t delete it. that is consistent, making jokes about some of the most high profile public figures in the world is very different than completely unfounded accusations of murder of a kid. don’t ever try to conflate the two again with a dishonest bait and switch",6,0,44,867,,false
1984752034218983622,https://x.com/tszzl/status/1984752034218983622,2025-11-01 22:38:54,"buy all the solar panels, they have an expected lifetime of thirty years and a profit margin of anywhere from zero to negative due to government subsidy. this is a pure good that china is doing for the world",1,1,12,355,,false
1984753537533034534,https://x.com/tszzl/status/1984753537533034534,2025-11-01 22:44:52,this is one of those things where the too clever by half industrial policy is probably wrong and the markets will handle it if the solar panels ever stop flowing. we went from 0 to turning on every abandoned nuclear reactor in the country in two years thanks to ai demand,1,0,5,275,,false
1984754113016709590,https://x.com/tszzl/status/1984754113016709590,2025-11-01 22:47:10,"why should a billionaire donate their wealth, which is presumably invested productively in the most important companies in the world?",21,1,147,10890,,false
1984755439368880443,https://x.com/tszzl/status/1984755439368880443,2025-11-01 22:52:26,No,0,0,2,1053,,false
1984757285957292122,https://x.com/tszzl/status/1984757285957292122,2025-11-01 22:59:46,yeah that’s a fair point but I see gates as an exceptional case where he spent all his time optimizing the fuck out of his charity dollars. it’s not the same with ie bezos earth fund,3,0,7,491,,false
1984768302066119022,https://x.com/tszzl/status/1984768302066119022,2025-11-01 23:43:33,"when people fall behind and are spiraling, they have a tendency to hide their failures, downplay their problems. many times being extremely honest encourages others to come out of the woodwork and help you, or at least to price you accurately so they don't add to your stress",75,79,1819,90504,,false
1984769623225745849,https://x.com/tszzl/status/1984769623225745849,2025-11-01 23:48:48,"i basically think that technological progress accounts for ~all of the material (non-political) improvements to the human condition and having the allocators unencumbered, doing the most they could to advance technology and efficiency is probably the best thing for them",3,0,8,1608,,false
1984769851735621699,https://x.com/tszzl/status/1984769851735621699,2025-11-01 23:49:42,"not saying charity is bad, quite the opposite. i just encourage people around me to become less encumbered, less guilty, to have their soul sing and contribute optimally, and i don't think billionaires have any special obligation",1,0,3,308,,false
1984771012454756778,https://x.com/tszzl/status/1984771012454756778,2025-11-01 23:54:19,there were times at work where i was just not performing well at all due to life circumstance and continuing to try and take on new responsibility instead of idk like taking a break and ended up in a dark place. don't do this kids,16,9,470,25831,,false
