id,url,time,text,replies,retweets,likes,views,media,has_quote
1977525268790317092,https://x.com/typeclonghouse/status/1977525268790317092,2025-10-13 00:02:19,"Reminder: If you're a woman who actually enjoys reading real books and not just softcore porn, you should qualify this by saying ""I enjoy reading classics and history"" for e.g. instead of just ""I enjoy reading"" because the default state of women ""reading"" is pornographic slop",18,42,1153,24967,,true
1977551483341045827,https://x.com/typeclonghouse/status/1977551483341045827,2025-10-13 01:46:29,and that's a good thing,2,0,14,1080,,true
1977555126845145562,https://x.com/typeclonghouse/status/1977555126845145562,2025-10-13 02:00:58,i promise i wont make my bfhusboid get on several hour long calls and talk about nothing,1,0,5,727,,true
1977558470540026184,https://x.com/typeclonghouse/status/1977558470540026184,2025-10-13 02:14:15,so you're basically saying people who aren't normal and cool and are neurotic shouldn't reproduce,1,0,6,192,,false
1977561616175779981,https://x.com/typeclonghouse/status/1977561616175779981,2025-10-13 02:26:45,They saila there's a tweet for everything,0,0,1,70,,false
1977563370258919772,https://x.com/typeclonghouse/status/1977563370258919772,2025-10-13 02:33:43,"oh great, now do I not only have to be a LOTR mega fan, but I also have to study up on a 1000+ episode anime to get into the Thielverse",2,0,26,2677,,false
1977563646571241632,https://x.com/typeclonghouse/status/1977563646571241632,2025-10-13 02:34:49,1600s soyface,2,0,48,2689,,true
1977565470741111293,https://x.com/typeclonghouse/status/1977565470741111293,2025-10-13 02:42:04,there are accounts out there who still have their santa hat on from last christmas,2,0,18,953,,false
1977567535383064961,https://x.com/typeclonghouse/status/1977567535383064961,2025-10-13 02:50:16,it's over for me,0,0,2,76,,false
1977569617519554885,https://x.com/typeclonghouse/status/1977569617519554885,2025-10-13 02:58:32,"i'm not antinatalist, but besides above average iq population collapse reasons, i don't think i have any particular traits worth preserving",10,0,12,1368,,false
1977570541658947869,https://x.com/typeclonghouse/status/1977570541658947869,2025-10-13 03:02:13,no I actually think I sound less annoying than that,0,0,16,652,,false
1977570912485650535,https://x.com/typeclonghouse/status/1977570912485650535,2025-10-13 03:03:41,"deciding to have kids for eugenic reasons, or even individually thinking of having kids in that way is weird and dumb

eugenic thinking only makes sense from a distanced population-level pov",0,0,2,127,,false
1977581329731756141,https://x.com/typeclonghouse/status/1977581329731756141,2025-10-13 03:45:05,lol,0,0,2,85,,false
1977594709699907700,https://x.com/typeclonghouse/status/1977594709699907700,2025-10-13 04:38:15,this could have been us you stupid bitch,2,13,286,12635,,true
1977597856426151976,https://x.com/typeclonghouse/status/1977597856426151976,2025-10-13 04:50:45,"the thing about opportunity cost for men vs women having children is it used to be like comparing apples to oranges, but now it's like comparing raspberries to blackerries

or even cantaloupe to honeydew",3,0,10,673,,false
1977598038849036294,https://x.com/typeclonghouse/status/1977598038849036294,2025-10-13 04:51:29,dw about it kitten,0,0,1,64,,false
1977598777117516023,https://x.com/typeclonghouse/status/1977598777117516023,2025-10-13 04:54:25,"i was trying to think of an amusing way to say this, but now that i actually think about it my analogy doesn't quite match

what i'm comparing above isn't actually the opportunity cost but rather the life trajectory from which you measure the opportunity cost
<a href=""https://x.com/typeclonghouse/status/1961114808352125054"">x.com/typeclonghouse/status/…</a>",0,0,1,37,,false
1977750153936142722,https://x.com/typeclonghouse/status/1977750153936142722,2025-10-13 14:55:56,i need to start taking more random 3 day weekends,4,0,15,724,,false
1977752930724839601,https://x.com/typeclonghouse/status/1977752930724839601,2025-10-13 15:06:58,i cant believe i used to be an urbancel who walked places in the rain and snow,5,0,23,1333,,true
1977753065479405764,https://x.com/typeclonghouse/status/1977753065479405764,2025-10-13 15:07:30,today was a company holiday so it doesn't even count but going fwd,0,0,4,259,,false
1977755797103784068,https://x.com/typeclonghouse/status/1977755797103784068,2025-10-13 15:18:21,"""Yes, hypothetically I could have gotten an uber for my 10 minute round trip to the cafe""

""Also this place is on a bus route which stops directly in front of my building""",0,0,2,55,,false
1977760054305567169,https://x.com/typeclonghouse/status/1977760054305567169,2025-10-13 15:35:16,"i think ppl theorize too much about sibling age gaps like this cuz anecdotally it doesn't seem that correlated with closeness 

probably only 8+ does it start to become an issue because by the time the younger can have real memories the older is off to college",0,0,6,128,,false
1977775378123968637,https://x.com/typeclonghouse/status/1977775378123968637,2025-10-13 16:36:10,entertaining myself on a rainy day by drawing swastikas in the condensation on my window,4,0,31,1147,,false
1977775477625405709,https://x.com/typeclonghouse/status/1977775477625405709,2025-10-13 16:36:33,"when you're hindoo, they let you do it",2,0,9,367,,false
1977778223854526846,https://x.com/typeclonghouse/status/1977778223854526846,2025-10-13 16:47:28,"i live too high up for anyone else to see it, do it's only the Good Way",1,0,3,55,,false
1977790024100843755,https://x.com/typeclonghouse/status/1977790024100843755,2025-10-13 17:34:21,"<a href=""/LDRMAGA"" title=""Lily"">@LDRMAGA</a> deserves the real credit as photographer",0,1,7,216,,false
1977812528014258286,https://x.com/typeclonghouse/status/1977812528014258286,2025-10-13 19:03:47,soyfacing over model ships,2,0,4,401,,false
1977869596251029948,https://x.com/typeclonghouse/status/1977869596251029948,2025-10-13 22:50:33,OP is also like totally pro-homeschool but everyone's just ignoring that lmao,1,0,2,322,,false
1977880040525242629,https://x.com/typeclonghouse/status/1977880040525242629,2025-10-13 23:32:03,"we can't simultaneously speak of ""noblesse oblige"" and the like and hold the top opinion... there has to be some kind of give and take and social responsibility from the ""elites""",1,0,2,35,,false
1977881011749843193,https://x.com/typeclonghouse/status/1977881011749843193,2025-10-13 23:35:55,"is it worth quitting a great job you actually enjoy to move to SF purely for the social aspect (not to ""build"")?",6,0,36,4984,,true
1977882512920564012,https://x.com/typeclonghouse/status/1977882512920564012,2025-10-13 23:41:53,not the same,1,0,1,47,,false
1977885349637464251,https://x.com/typeclonghouse/status/1977885349637464251,2025-10-13 23:53:09,i'm getting fomo for not living there,1,0,2,93,,false
