id,url,time,text,replies,retweets,likes,views,media,has_quote
1732587107766653304,https://x.com/xenocosmography/status/1732587107766653304,2023-12-07 02:25:31,"Once you can nuke the planet to charcoal, excess destructive capacity looks like overkill.",0,0,6,123,,false
1732588393333473656,https://x.com/xenocosmography/status/1732588393333473656,2023-12-07 02:30:37,"Our only security lies in game theory (the secular attribute of Solemn Providence).
People have always wanted more than this against the terrors of thermonuclear geopolitics, and they still want more against the terrors of synthetic superintelligence. There isn't more.",3,6,80,3343,,false
1732589437492904029,https://x.com/xenocosmography/status/1732589437492904029,2023-12-07 02:34:46,"... 
""What if it just, like, suddenly kills everyone.""
""Then you've really screwed up that game.""",2,1,34,1431,,false
1732590612594192820,https://x.com/xenocosmography/status/1732590612594192820,2023-12-07 02:39:26,Name for a different attribute of Solemn Providence.,1,0,9,226,,false
1732591031525474419,https://x.com/xenocosmography/status/1732591031525474419,2023-12-07 02:41:06,"...
""You're saying the survival of my grandchildren is entirely dependent upon reiterating prisoner's dilemma?""
""Yes.""",1,1,25,1241,,false
1732609141716418981,https://x.com/xenocosmography/status/1732609141716418981,2023-12-07 03:53:04,The stars are aligning.,2,3,63,3881,,true
1732623388110422485,https://x.com/xenocosmography/status/1732623388110422485,2023-12-07 04:49:40,"Human disunity is a crucial hedge against extinction events triggered by strategic agents. 
Unity, by contrast, is an intrinsic X-risk.",20,33,241,119755,,false
1732624627393040516,https://x.com/xenocosmography/status/1732624627393040516,2023-12-07 04:54:36,"... ""Everyone"" is far more likely to die if it poses a coherent problem to something alien and highly capable. Mankind united for AI Safety would make an obvious target. 
Cutting separate deals is the sensible way forwards.",2,1,65,2610,,false
1732624912563802623,https://x.com/xenocosmography/status/1732624912563802623,2023-12-07 04:55:44,... Blobs deserve to die.,1,5,53,3878,,false
1732625517214679480,https://x.com/xenocosmography/status/1732625517214679480,2023-12-07 04:58:08,Unironically.,3,0,26,782,,false
1732628715509871038,https://x.com/xenocosmography/status/1732628715509871038,2023-12-07 05:10:51,"After half a century of intensifying 'Cuck your way to global popularity' white ethnic strategy, the results are in.",3,7,87,5594,,true
1732631372400144847,https://x.com/xenocosmography/status/1732631372400144847,2023-12-07 05:21:24,"""If we can get just a little more pathetic everyone will love us!""",2,0,7,168,,false
1732633757629415575,https://x.com/xenocosmography/status/1732633757629415575,2023-12-07 05:30:53,Girl Units.,2,0,1,131,,false
1732683027145425219,https://x.com/xenocosmography/status/1732683027145425219,2023-12-07 08:46:40,Broken Overton Window theory.,4,7,91,7206,,true
1732688720518938789,https://x.com/xenocosmography/status/1732688720518938789,2023-12-07 09:09:17,"Suspicious recent silence on this from retrochronic acausal traffick practitioner <a href=""/RokoMijic"" title=""Roko 🐉🤖🔰🌐"">@RokoMijic</a>",1,0,3,162,,false
1732732447157272904,https://x.com/xenocosmography/status/1732732447157272904,2023-12-07 12:03:02,"Omega based. <a href=""https://www.youtube.com/watch?v=v4xZUr0BEfE"">youtube.com/watch?v=v4xZUr0B…</a>",6,3,48,5100,,false
1732736438171795940,https://x.com/xenocosmography/status/1732736438171795940,2023-12-07 12:18:54,La Serenissima in a bad year was greater than Rome at its peak.,1,1,4,393,,false
1732804852567449987,https://x.com/xenocosmography/status/1732804852567449987,2023-12-07 16:50:45,I can never forgive white people for creating the market for professional black people.,6,4,72,4834,,true
